mode,rank,id,title,country,sim,top_tags
0,1,98328,Jagaaan,JP,0.674,"Aliens, Super Power, Seinen, Anti-Hero, Tragedy"
0,2,31474,Devilman,JP,0.673,"Cosmic Horror, Demons, Tragedy, War, Gore"
0,3,87170,Fire Punch,JP,0.672,"Post-Apocalyptic, Tragedy, Suicide, Dystopian, Revenge"
0,4,119968,Tougen Anki: Legend of the Cursed Blood,JP,0.67,"Shounen, Demons, Tragedy, Male Protagonist, Youkai"
0,5,30025,Fullmetal Alchemist,JP,0.659,"Alchemy, Conspiracy, Politics, Philosophy, Military"
0,6,105778,Chainsaw Man,JP,0.657,"Demons, Tragedy, Urban Fantasy, Psychosexual, Coming of Age"
0,7,55132,Akame ga KILL!,JP,0.655,"Assassins, Shounen, Tragedy, War, Swordplay"
0,8,85611,Tokyo Ghoul:re,JP,0.653,"Tragedy, Dissociative Identities, Seinen, Amnesia, Philosophy"
0,9,74485,The Seven Deadly Sins,JP,0.648,"Shounen, Ensemble Cast, Demons, Super Power, Magic"
0,10,31706,JoJo's Bizarre Adventure: Part 7–Steel Ball Run,JP,0.645,"Travel, Cowboys, Super Power, Male Protagonist, Seinen"
0,11,33986,Deadman Wonderland,JP,0.641,"Death Game, Body Horror, Prison, Super Power, Gore"
0,12,85486,My Hero Academia,JP,0.636,"Superhero, Super Power, Urban Fantasy, Shounen, Male Protagonist"
0,13,63031,Alice in Borderland,JP,0.636,"Tragedy, Death Game, Survival, Philosophy, Amnesia"
0,14,30026,Hunter x Hunter,JP,0.634,"Shounen, Super Power, Cultivation, Ensemble Cast, Travel"
0,15,33868,Shigurui,JP,0.632,"Tragedy, Swordplay, Revenge, Samurai, Disability"
1,1,114605,Latna Saga: Survival of a Sword King,KR,0.805,"Male Protagonist, Swordplay, Isekai, Full Color, Magic"
1,2,137969,Ranker's Return,KR,0.8,"Video Games, Virtual World, Male Protagonist, Full Color, Swordplay"
1,3,178379,Blink Master of the Magic Academy,KR,0.799,"Isekai, Video Games, Full Color, Male Protagonist, Magic"
1,4,151457,The Overpowered Newbie,KR,0.787,"Full Color, Male Protagonist, Death Game, Animals, Magic"
1,5,165287,Singwahamkke Doraon Gisawangnim,KR,0.783,"Male Protagonist, Full Color, Gods, Demons, Swordplay"
1,6,151212,The Holy Power of Modern Medicine,KR,0.78,"Isekai, Full Color, Male Protagonist, Magic, Medicine"
1,7,111590,Ichawon Yongbyeong,KR,0.775,"Isekai, Male Protagonist, Full Color, Swordplay, Torture"
1,8,143059,Leveling Beyond the Max,KR,0.774,"Male Protagonist, Full Color, Dungeon, Magic, Martial Arts"
1,9,130870,The Frozen Player Returns,KR,0.774,"Male Protagonist, Dungeon, Full Color, Super Power, Urban Fantasy"
1,10,159439,Boundless Ascension,KR,0.771,"Necromancy, Super Power, Dungeon, Anti-Hero, Survival"
1,11,129918,Mystic Musketeer,KR,0.767,"Video Games, Male Protagonist, Virtual World, Magic, Full Color"
1,12,144957,The World After the Fall,KR,0.766,"Full Color, Male Protagonist, Dungeon, Primarily Male Cast, Primarily Adult Cast"
1,13,140896,Seoul Station's Necromancer,KR,0.766,"Necromancy, Male Protagonist, Full Color, Dungeon, Magic"
1,14,146017,The Hero Returns,KR,0.764,"Male Protagonist, Time Manipulation, Full Color, Long Strip"
1,15,164996,F-Rank Fortune Hunter,KR,0.762,"Video Games, Post-Apocalyptic, Full Color, Male Protagonist, Heterosexual"
