id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
53390,Attack on Titan,JP,2009,84.0,222739,0.9230521500396149,0.5935219756996666,0.6967990267771598,"Dystopian, Anti-Hero, War, Philosophy, Tragedy",STRONG_POS
30002,Berserk,JP,1989,92.0,236455,0.9175402634058724,0.9999999999996763,0.749220610347562,"Tragedy, Seinen, Revenge, Male Protagonist, Demons",STRONG_POS
30013,One Piece,JP,1997,91.0,225272,0.8780091716346757,0.459494923858744,0.6204815742165192,"Pirates, Travel, Found Family, Shounen, Ensemble Cast",
101517,Jujutsu Kaisen,JP,2018,80.0,244477,0.8778816965494368,0.39583535594134056,0.6278413593216134,"Urban Fantasy, Demons, Super Power, Shounen, Curses",
100994,Hell’s Paradise: Jigokuraku,JP,2018,81.0,95346,0.8617212595944878,0.45377660637209905,0.7100865760535006,"Survival, Samurai, Philosophy, Mythology, Ninja",STRONG_POS
30044,Gin Tama,JP,2003,86.0,30940,0.8614566727386556,0.30262178701856407,0.5096306400646743,"Found Family, Parody, Samurai, Meta, Swordplay",
87170,Fire Punch,JP,2016,79.0,100659,0.8591783170649014,0.5206787663446459,0.6222990435657316,"Post-Apocalyptic, Tragedy, Suicide, Dystopian, Revenge",
43492,Blue Exorcist,JP,2009,76.0,41754,0.8457443035200425,0.3144135700898922,0.572050739251029,"Demons, Male Protagonist, Shounen, Conspiracy, Urban Fantasy",
30642,Vinland Saga,JP,2005,90.0,133739,0.8418562273889024,0.6381736622750707,0.6305963055462485,"Rehabilitation, Historical, Coming of Age, Vikings, Foreign",STRONG_POS
43949,Medaka Box,JP,2009,77.0,23892,0.8407612436426378,0.21224789792495863,0.4150860453090844,"School, Large Breasts, Super Power, Coming of Age, Meta",
99536,Talentless Nana,JP,2016,73.0,15664,0.8290200748773155,0.3332156118933765,0.4661518972871943,"Conspiracy, Dystopian, Tragedy, Assassins, Super Power",
30026,Hunter x Hunter,JP,1998,88.0,104647,0.8283676397115514,0.4053544762053299,0.6638836353564245,"Shounen, Super Power, Cultivation, Ensemble Cast, Travel",
30583,Claymore,JP,2001,81.0,63803,0.8240828590434679,0.49728033161769836,0.6426589531921713,"Demons, Primarily Female Cast, Super Power, Female Protagonist, Monster Girl",STRONG_POS
30012,Bleach,JP,2001,80.0,116270,0.8153705676657322,0.34155502117365044,0.6668516995419799,"Shounen, Swordplay, Super Power, Ghost, Male Protagonist",
97897,Killing Stalking,KR,2016,71.0,25545,0.8126302914229203,0.3627474108450834,0.3676006892490189,"Tragedy, Yandere, Sadism, Human Pet, Rape",
105778,Chainsaw Man,JP,2018,85.0,321677,0.8046760810069009,0.44950241376935157,0.608777516326281,"Demons, Tragedy, Urban Fantasy, Psychosexual, Coming of Age",
98328,Jagaaan,JP,2017,73.0,43793,0.7966236076702039,0.5083281258909185,0.610857156045538,"Aliens, Super Power, Seinen, Anti-Hero, Tragedy",
86864,Gabriel Dropout,JP,2013,76.0,7597,0.7901704168941277,0.0791854157246207,0.25510138804544014,"Angels, School, Cute Girls Doing Cute Things, Demons, Otaku Culture",
41054,Billy Bat,JP,2008,85.0,37552,0.7891315550270761,0.384540836925431,0.4598740141230265,"Drawing, Historical, Time Manipulation, Seinen, Conspiracy",
30101,Shugo Chara!,JP,2006,73.0,8068,0.787713530270975,0.1884708648959073,0.24098918946701933,"Shoujo, School, Magic, Female Protagonist, Primarily Child Cast",
44369,Tsugumomo,JP,2007,74.0,13882,0.7869761307310721,0.3783242319083319,0.5042383317396406,"Super Power, Nudity, Seinen, Gods, Magic",
69625,Kagerou Daze,JP,2012,77.0,10866,0.784806421435088,0.18722281828158177,0.3142424424477863,"Urban Fantasy, Primarily Teen Cast, Super Power, Ensemble Cast, Tragedy",
30021,Death Note,JP,2003,84.0,96628,0.7789129632039247,0.2988742799736982,0.4990562151725138,"Detective, Police, Anti-Hero, Urban Fantasy, Tragedy",
30027,X,JP,1992,79.0,8583,0.7760302008960994,0.3971311604565072,0.5687327913189453,"Urban Fantasy, Gore, Tragedy, Shoujo, Magic",
